Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2013-11-26,26,november,2013,19,youth (<25),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,8,45,120,590,360,950
2015-11-26,26,november,2015,19,youth (<25),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,8,45,120,590,360,950
2014-03-23,23,march,2014,49,adults (35-64),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,23,45,120,1366,1035,2401
2016-03-23,23,march,2016,49,adults (35-64),m,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,20,45,120,1188,900,2088
2014-05-15,15,may,2014,47,adults (35-64),f,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,4,45,120,238,180,418
2016-05-15,15,may,2016,47,adults (35-64),f,australia,new south wales,accessories,bike racks,hitch rack - 4-bike,5,45,120,297,225,522
2014-05-22,22,may,2014,47,adults (35-64),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,4,45,120,199,180,379
2016-05-22,22,may,2016,47,adults (35-64),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,2,45,120,100,90,190
2014-02-22,22,february,2014,35,adults (35-64),m,australia,victoria,accessories,bike racks,hitch rack - 4-bike,22,45,120,1096,990,2086
2016-02-22,22,february,2016,35,adults (35-64),m,australia,victoria,accessories,bike racks,hitch rack - 4-bike,21,45,120,1046,945,1991
2013-07-30,30,july,2013,32,young adults (25-34),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,8,45,120,398,360,758
2015-07-30,30,july,2015,32,young adults (25-34),f,australia,victoria,accessories,bike racks,hitch rack - 4-bike,8,45,120,398,360,758
2013-07-15,15,july,2013,34,young adults (25-34),m,australia,victoria,accessories,bike racks,hitch rack - 4-bike,7,45,120,349,315,664
2015-07-15,15,july,2015,34,young adults (25-34),m,australia,victoria,accessories,bike racks,hitch rack - 4-bike,7,45,120,349,315,664
2013-08-02,2,august,2013,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,5,45,120,369,225,594
2015-08-02,2,august,2015,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,7,45,120,517,315,832
2013-09-02,2,september,2013,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,2,45,120,148,90,238
2015-09-02,2,september,2015,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2014-01-22,22,january,2014,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2016-01-22,22,january,2016,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2014-05-17,17,may,2014,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,6,45,120,443,270,713
2016-05-17,17,may,2016,29,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,8,45,120,590,360,950
2014-03-27,27,march,2014,51,adults (35-64),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,9,45,120,524,405,929
2016-03-27,27,march,2016,51,adults (35-64),m,united states,oregon,accessories,bike racks,hitch rack - 4-bike,7,45,120,407,315,722
2013-08-25,25,august,2013,49,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,3,45,120,221,135,356
2015-08-25,25,august,2015,49,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,1,45,120,74,45,119
2013-12-26,26,december,2013,49,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,6,45,120,443,270,713
2015-12-26,26,december,2015,49,adults (35-64),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,5,45,120,369,225,594
2014-01-02,2,january,2014,48,adults (35-64),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,4,45,120,295,180,475
2016-01-02,2,january,2016,48,adults (35-64),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,4,45,120,295,180,475
2014-03-13,13,march,2014,48,adults (35-64),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,20,45,120,1476,900,2376
2016-03-13,13,march,2016,48,adults (35-64),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,22,45,120,1624,990,2614
2014-05-23,23,may,2014,47,adults (35-64),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,24,45,120,1771,1080,2851
2016-05-23,23,may,2016,47,adults (35-64),f,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,23,45,120,1697,1035,2732
2013-07-19,19,july,2013,32,young adults (25-34),f,united states,oregon,accessories,bike racks,hitch rack - 4-bike,9,45,120,524,405,929
2015-07-19,19,july,2015,32,young adults (25-34),f,united states,oregon,accessories,bike racks,hitch rack - 4-bike,9,45,120,524,405,929
2013-11-11,11,november,2013,34,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,25,45,120,1845,1125,2970
2015-11-11,11,november,2015,34,young adults (25-34),m,canada,british columbia,accessories,bike racks,hitch rack - 4-bike,23,45,120,1697,1035,2732
